ID,y
1,82.883934
2,97.87045
3,83.13028
4,76.69274
5,112.565216
8,91.71859
10,99.52366
11,94.38118
12,117.274345
14,96.04944
15,116.17212
16,105.28929
17,100.98267
19,90.97035
20,100.67687
21,103.808716
22,118.7052
23,100.98267
26,95.8396
28,96.08032
29,100.98267
33,100.98267
35,93.946
41,100.922806
42,94.83569
43,113.93968
45,102.187126
46,100.62484
51,94.38827
53,85.34478
55,109.10052
56,104.3469
57,110.23341
58,98.637566
59,103.85806
63,105.25882
64,94.3497
65,101.3216
69,97.23812
71,99.151886
72,104.68158
73,95.37921
76,104.35319
77,97.11195
78,116.44514
82,94.455864
83,101.3216
84,100.56005
85,106.77262
87,110.6483
88,100.922806
89,110.12869
91,97.7539
93,102.31261
94,104.51822
95,100.03561
96,111.376205
97,95.3605
98,109.67266
99,99.18268
101,106.24024
103,110.12869
104,93.550224
105,109.804985
110,97.44086
111,102.60981
113,104.61176
114,96.63616
115,111.53281
117,110.12869
120,95.81985
121,113.05435
122,94.30414
123,106.14283
126,108.4322
132,109.70379
135,110.4788
137,102.38002
138,94.99631
140,104.04547
142,108.47917
144,110.88612
148,92.12702
149,113.73882
155,103.23149
156,111.86133
157,95.3605
162,114.413704
163,95.87207
167,94.81579
172,113.93968
179,106.96193
180,94.20879
181,108.09856
182,97.47685
183,110.12869
185,110.12869
187,107.084114
188,93.09997
189,94.898834
191,94.07567
192,103.41294
193,93.8414
194,107.92811
195,94.79709
196,99.148865
198,109.12898
199,111.15434
201,100.36135
204,95.135925
205,106.12417
206,106.90087
210,97.06125
211,106.24024
216,111.68419
219,117.274345
220,93.14225
221,109.25318
226,108.09856
227,93.09472
228,110.43458
230,109.86552
231,95.3605
235,118.7052
236,97.816635
238,111.67421
242,104.56577
243,94.22818
244,80.037445
245,111.11564
247,115.91873
248,94.95579
249,91.139496
250,113.35823
251,97.816635
253,118.7052
254,95.354225
256,95.29821
257,91.94993
258,109.047424
259,97.60737
262,91.766685
266,101.63178
267,113.1137
272,103.73971
273,110.12869
275,94.2855
276,108.81194
279,93.57209
280,101.3216
283,92.82957
285,110.14729
288,110.12869
289,107.90225
290,100.94714
291,95.31401
292,106.19949
293,105.97194
296,94.22262
297,105.64504
298,116.44514
299,94.020195
304,91.54598
305,87.38807
306,94.8306
307,109.201164
311,104.1433
313,109.23755
314,92.61815
316,108.54975
324,111.80674
327,98.69533
329,92.5305
330,109.88395
337,97.71388
338,94.69476
339,100.14876
340,93.46894
343,93.68006
345,116.17212
346,96.7402
347,112.33963
349,110.30975
350,94.4034
352,102.86954
353,92.86775
354,91.22736
357,95.77053
358,107.47291
362,108.21981
364,104.43321
365,101.88361
366,102.12788
367,106.79718
368,93.87522
370,80.97889
373,99.52319
377,93.86667
378,106.77266
382,104.35319
384,110.56268
390,97.80762
392,111.755394
393,111.862465
395,94.30226
396,97.10325
399,80.56024
406,109.23755
408,109.23755
409,94.91129
410,80.62675
412,112.61032
413,89.74571
419,99.38871
420,105.61355
421,90.07353
430,104.904816
434,93.487274
436,95.02167
437,102.69111
438,90.970505
439,110.83612
440,101.02286
443,101.31082
446,95.135925
448,93.02335
452,94.446236
453,108.74125
457,99.76282
458,94.791115
459,114.160736
460,103.94668
462,104.11458
464,101.316086
465,117.274345
467,112.62193
471,106.38539
472,76.94073
473,105.3976
475,95.809326
480,102.319626
488,105.80725
490,109.201164
491,105.01624
492,83.336655
493,97.72868
497,93.19524
498,107.84631
499,94.41187
500,100.73576
501,94.93524
502,110.97674
506,88.289345
510,108.01285
511,90.780304
512,93.85281
516,93.9938
518,97.28568
519,112.33963
521,91.35559
522,111.71378
526,113.99646
529,107.518654
532,111.814445
533,94.9708
536,111.272354
537,94.91599
539,94.895195
540,105.528725
541,96.81887
543,94.504486
546,109.93819
547,97.82473
548,91.42
551,94.84103
552,107.409546
556,101.30392
557,101.305725
558,106.79718
559,94.791245
560,105.55624
562,104.890625
566,98.278694
570,107.84631
571,102.69111
572,101.3216
573,93.55759
575,117.274345
576,109.235596
577,95.38271
579,90.878494
580,112.40932
581,109.24292
589,109.201164
591,101.52867
593,95.18556
594,105.81273
595,94.8131
598,94.973015
602,106.56498
604,111.75936
606,107.51766
608,102.193794
609,106.24024
610,96.66655
616,108.40303
617,94.70899
618,107.88929
620,106.71792
622,102.18001
623,89.04998
624,109.26597
626,112.299904
628,111.88609
629,97.18104
630,109.86552
637,91.65648
638,101.797935
643,105.890915
645,102.319626
646,112.01576
648,94.86704
652,99.63726
653,100.48924
654,107.84631
656,110.784164
657,104.55521
659,100.27795
660,109.3621
663,93.25837
664,110.50525
666,107.523605
668,104.77829
669,94.06228
671,95.24147
675,91.00429
677,96.1678
